"ÉTUDE SALAIRE 2018 - Paysagiste Concepteur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Détails de la soumission","","","","","","","","","","","","Avez-vous un autre diplôme ?","","","","","","","","","","","Compétences mobilisées","","","","","","","","","","","","","","","","",""
"Séquentiel","SID","Heure de soumission","Heure de complétion","Heure de modification","Brouillon","Adresse IP","UID","Nom d'utilisateur","Votre diplôme principal","Autre diplôme principal","Votre année de diplôme","non","oui","Nombre d'années d'expérience","Localisation actuelle","Autre localisation","Type actuel d'entreprise","Autre type d'entreprise","Taille de votre entreprise actuelle","Convention collective de l'entreprise","Type de poste actuel","Autre type de poste","Rédactions de documents administratifs (devis, offres, ...)","Recrutement (planification, offre, entretien, ...)","Management (gestion d'équipe, pilotage de projets)","Communication graphique et orale","Veille technique et normative","Concertation","Terrain","Réalisation de concours","Conception (phase esquisse)","Conception (phase AVP)","Conception (phase PRO)","Conception (phase DCE)","ACT - Analyse des offres","Suivi de chantiers","Commercial et relation client","Années d'ancienneté au sein de votre entreprise actuelle","Quelle est votre salaire brut annuel FIXE en 2018 (ajusté pour un temps plein) ?","Quelle est l'estimation de votre rémunération VARIABLE en 2018 ?"
"55","1254097","31/10/2018 - 11:15","31/10/2018 - 11:15","03/11/2018 - 17:40","0","0.0.0.0","0","Anonymous","Autre","Ingénieur paysagiste Hepia Genève ","2009","","X","9","Autre","La Réunion ","Agence","","6-10","Entreprises paysagistes","Chef(fe) de projet","","X","","X","X","X","","","X","X","X","X","X","X","X","X","7","44000","0"
"57","1254121","31/10/2018 - 11:19","31/10/2018 - 11:19","31/10/2018 - 11:19","0","0.0.0.0","0","Anonymous","ENSNP","","2018","X","","0","Autre","Nîmes","Agence","","6-10","Design de services et concertation","Assistant(e) de projet","","","","","X","","X","","","","","","","","","","0","25000","500"
"58","1254133","31/10/2018 - 11:21","31/10/2018 - 11:21","31/10/2018 - 11:21","0","0.0.0.0","0","Anonymous","ENSAPL","","2005","X","","12","Île-de-France","","Bureau d'études","","2-5","bureaux d’études techniques","Autre","paysagiste","X","","X","X","X","X","X","","X","X","X","X","X","X","X","12","31200","0"
"59","1254137","31/10/2018 - 11:23","31/10/2018 - 11:23","31/10/2018 - 11:23","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2014","X","","4","Lyon","","Freelance / Indépendant","","2-5","Entreprises paysagistes","Directeur(trice) d'agence","","X","","","X","","X","","","","","","","","X","X","4","45000","500"
"61","1254147","31/10/2018 - 11:25","31/10/2018 - 11:25","31/10/2018 - 11:25","0","0.0.0.0","0","Anonymous","Autre","Licence Aménagement paysagers infographie ","2014","X","","4","Nantes","","Bureau d'études","","2-5","Bureaux d’etudes Techniques ","Chargé(e) d'étude","","X","","","","","","X","","X","X","X","X","X","X","","2","26500","0"
"62","1254183","31/10/2018 - 11:31","31/10/2018 - 11:31","31/10/2018 - 11:31","0","0.0.0.0","0","Anonymous","ENSAPBX","","2016","X","","3","Toulouse","","Freelance / Indépendant","","1","Entreprises paysagistes","Autre","chef d'entreprise unipersonnelle","X","","","X","","X","","X","X","X","X","","","","X","2","18000","0"
"63","1254202","31/10/2018 - 11:35","31/10/2018 - 11:35","31/10/2018 - 11:35","0","0.0.0.0","0","Anonymous","ENSNP","","2017","X","","1","Autre","Ireland","Agence","","11-25","Entreprises paysagistes","Dessinateur(trice) projeteur","","","","","X","","X","","X","X","X","X","X","","","","1","28000","500"
"64","1254210","31/10/2018 - 11:37","31/10/2018 - 11:37","31/10/2018 - 11:37","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2014","X","","3","Lyon","","Agence","","2-5","Entreprises architecture","Chargé(e) d'étude confirmé","","","","","X","","X","X","X","X","X","X","X","","","","1","27300","0"
"65","1254220","31/10/2018 - 11:41","31/10/2018 - 11:41","31/10/2018 - 11:41","0","0.0.0.0","0","Anonymous","ENSP Marseille","","2017","","X","1","Rennes","","Agence","","6-10","Agence paysagistes","Chargé(e) d'étude","","","","","X","","","X","","X","X","","","","","X","1","25740","25740"
"66","1254309","31/10/2018 - 12:00","31/10/2018 - 12:00","31/10/2018 - 12:00","0","0.0.0.0","0","Anonymous","ENSNP","","2017","X","","1","Autre","bruxelles","Freelance / Indépendant","","1","Entreprises paysagistes","Chargé(e) d'étude débutant","","X","","X","X","X","","X","","X","X","","","","","X","1","31200","0"
